ID_Producto,Nombre_Producto,Categoria,Marca,Precio_Costo,Precio_Venta,Stock_Actual
00001,my,Laptop,Johnson-Cantrell,254.3,436.83,77
00002,majority,Smartphone,Rivas Ltd,460.71,324.9,20
00003,we,Laptop,Herman-Vazquez,444.06,493.45,65
00004,must,Smartphone,Bryant-Griffin,387.56,462.64,29
"00005,former,Laptop,""Hart, Lopez and Sanders"",317.59,212.91,7"
"00006,range,Laptop,""Burns, Silva and Petersen"",254.64,405.08,34"
"00007,type,Accessory,""Miller, Goodwin and Young"",302.69,278.25,66"
"00008,production,Tablet,""Thornton, Morgan and Smith"",305.19,239.64,89"
00009,me,Smartphone,Martin LLC,384.56,481.43,72
"00010,join,Laptop,""Stone, Thompson and Johnson"",267.84,179.07,52"
00011,space,Tablet,Rodriguez Inc,160.82,611.46,23
"00012,research,Tablet,""Moody, Foley and Mitchell"",366.91,636.33,98"
00013,ready,Smartphone,Reyes-Ramirez,133.36,395.69,6
00014,example,Laptop,Smith Inc,381.61,270.0,89
"00015,laugh,Accessory,""Warner, Phillips and Simpson"",350.67,184.82,68"
"00016,future,Accessory,""Alexander, Humphrey and Saunders"",387.7,330.95,36"
00017,relate,Tablet,Jackson-Garcia,321.37,202.92,56
"00018,finish,Accessory,""Nelson, Paul and Salazar"",271.17,469.53,79"
"00019,successful,Laptop,""Smith, Joseph and Rhodes"",452.67,440.04,75"
00020,speech,Smartphone,Johnson-Briggs,384.42,220.74,28
00021,cultural,Smartphone,Garcia LLC,169.21,408.61,84
00022,in,Smartphone,Glenn LLC,296.32,600.1,3
00023,nothing,Laptop,Douglas Ltd,220.21,476.57,98
00024,make,Tablet,Townsend-Molina,471.92,440.28,70
00025,ask,Accessory,Brown Group,430.22,259.8,100
"00026,partner,Smartphone,""Bailey, Ewing and Johnson"",92.2,140.17,64"
00027,charge,Accessory,Burns-Mathis,249.36,416.88,59
00028,cover,Laptop,Sanchez-Jones,53.66,95.46,92
00029,simple,Smartphone,Davis LLC,248.21,101.22,20
00030,five,Tablet,Sanchez LLC,302.67,322.68,75
00031,charge,Laptop,Garza LLC,232.82,529.01,20
00032,important,Smartphone,Wiley Inc,411.71,197.75,84
"00033,bad,Accessory,""Glover, Sexton and Gray"",493.93,110.68,11"
00034,certainly,Tablet,Macias-Wu,56.28,204.97,63
00035,dark,Laptop,Ibarra-Bradley,215.64,565.63,40
00036,new,Smartphone,Soto-Calhoun,317.95,414.71,93
"00037,art,Accessory,""Howard, Villegas and Garcia"",266.52,661.97,61"
00038,mission,Smartphone,Bryant and Sons,229.36,569.49,92
00039,able,Laptop,Perez-Garcia,390.77,328.57,50
00040,standard,Tablet,Carter-Kaiser,214.3,97.01,85
00041,account,Tablet,Saunders-Savage,466.42,62.86,39
00042,sea,Tablet,Wilson and Sons,325.52,163.9,68
00043,decade,Accessory,Hamilton-Pineda,464.9,698.38,50
00044,get,Accessory,Shannon-Kelly,403.98,350.0,7
00045,member,Accessory,Hardy-Wright,384.56,504.57,37
00046,only,Tablet,Russell-Smith,292.63,514.16,59
00047,state,Laptop,Garrison and Sons,84.06,204.64,53
00048,travel,Smartphone,Garner-Chen,310.52,468.66,58
00049,letter,Laptop,Bruce PLC,227.87,80.1,41
"00050,name,Accessory,""Zavala, Mccullough and Hodges"",93.2,155.18,87"
"00051,camera,Tablet,""Harrison, Hanson and Davidson"",200.28,243.67,8"
00052,data,Smartphone,Gomez Group,492.7,344.12,18
00053,truth,Accessory,Sims and Sons,316.53,462.98,86
00054,yes,Accessory,Morgan PLC,377.65,448.04,21
00055,finish,Tablet,Herman-Acevedo,295.29,64.23,100
00056,past,Accessory,Liu Ltd,486.37,247.39,24
00057,why,Tablet,Brooks-Garcia,310.41,122.9,72
00058,ability,Smartphone,Silva LLC,475.3,75.58,57
"00059,memory,Smartphone,""Gibson, Lawrence and Bailey"",258.71,529.93,94"
"00060,guess,Laptop,""Shaw, Lee and Knapp"",282.15,506.71,0"
00061,out,Laptop,Allen PLC,310.85,229.75,11
00062,great,Accessory,Brandt and Sons,109.65,194.5,99
00063,morning,Smartphone,Mills-Serrano,459.74,98.8,38
"00064,every,Tablet,""Gonzalez, Hart and Day"",439.3,204.42,26"
00065,wish,Laptop,Vaughn Group,497.25,121.1,87
"00066,instead,Smartphone,""Sims, Jackson and Potter"",304.35,139.51,75"
00067,whatever,Tablet,Faulkner-Perkins,79.49,642.76,19
00068,despite,Accessory,Johnson-Townsend,494.62,241.03,14
00069,occur,Tablet,Simpson Ltd,259.27,518.7,31
00070,far,Tablet,Stevens and Sons,52.6,582.87,56
00071,effect,Tablet,Thomas PLC,174.76,547.83,95
00072,everything,Smartphone,Kramer Group,380.1,383.49,11
00073,company,Tablet,Robles PLC,89.59,258.85,95
"00074,good,Smartphone,""Reyes, Huber and Welch"",77.47,368.35,23"
00075,one,Tablet,Jackson LLC,199.43,527.66,32
00076,well,Tablet,James-Miller,272.82,210.45,93
00077,red,Smartphone,Ward-Mckinney,305.24,144.12,100
"00078,agreement,Accessory,""Mccullough, Rios and Ryan"",196.76,196.31,33"
00079,recent,Accessory,Elliott-Washington,370.73,99.1,46
00080,ok,Tablet,Yang PLC,352.2,567.33,82
00081,study,Smartphone,Pearson-Moore,315.66,108.7,32
00082,long,Accessory,Trevino Ltd,492.73,558.27,99
"00083,north,Laptop,""Mack, Tucker and Boyer"",428.94,534.02,65"
00084,probably,Tablet,Osborne-Fowler,385.84,296.24,18
00085,step,Accessory,Jones-Barnes,458.3,277.76,90
00086,yet,Accessory,Wilson Ltd,291.95,134.58,100
00087,attack,Laptop,Dennis-Wilson,222.46,449.23,39
00088,bill,Tablet,Rivera Ltd,379.11,194.69,22
"00089,control,Laptop,""Anthony, Holden and Smith"",295.89,384.36,19"
00090,assume,Laptop,Long-Padilla,85.1,540.51,71
00091,both,Accessory,Clark Ltd,450.89,491.24,52
"00092,face,Accessory,""Robbins, Brown and Garcia"",166.58,294.92,13"
"00093,baby,Smartphone,""Smith, Simmons and Stewart"",195.11,80.53,50"
00094,item,Tablet,Shields-Murray,100.9,391.27,40
00095,foreign,Tablet,Williams-Hunter,119.37,635.01,40
00096,international,Accessory,Casey-Hancock,359.16,621.77,34
00097,positive,Laptop,Cox-Wright,255.81,122.05,70
00098,see,Smartphone,Vaughn-Woodward,90.73,93.54,53
00099,physical,Accessory,Garcia Group,424.92,394.87,90
00100,economy,Smartphone,Dawson Group,169.23,407.94,64
"00101,bed,Tablet,""Sutton, Avila and Lucas"",125.06,640.56,49"
"00102,color,Accessory,""Carlson, Hayes and Rivera"",247.62,446.86,61"
00103,yes,Laptop,West LLC,406.78,101.82,51
00104,suggest,Laptop,Morgan-Molina,129.16,286.22,14
00105,movie,Laptop,Houston-Kane,178.78,668.48,43
"00106,third,Accessory,""Allen, Butler and Soto"",199.3,493.94,32"
00107,father,Tablet,Duncan-Walsh,86.11,378.29,62
00108,friend,Accessory,Luna PLC,227.46,183.12,74
00109,authority,Laptop,Cook Group,194.3,70.79,23
"00110,operation,Smartphone,""Diaz, Irwin and Huffman"",499.31,574.63,50"
"00111,change,Smartphone,""Mullen, Dorsey and Huff"",316.16,576.2,12"
00112,speak,Laptop,Payne PLC,270.42,263.02,7
00113,surface,Accessory,Mahoney LLC,113.89,410.08,55
00114,option,Tablet,Lozano Group,204.12,577.05,5
"00115,age,Smartphone,""Simmons, Parker and Ali"",280.98,123.62,23"
00116,check,Tablet,Bishop-Elliott,416.42,337.03,95
00117,author,Tablet,Parker Group,499.26,319.89,6
