ID_Venta,ID_Producto,ID_Cliente,ID_Vendedor,Fecha_Venta,Cantidad,Precio_Unitario,Descuento,Impuestos,Total_Venta,Metodo_Pago
00001,00560,00989,01242,2020-01-01,6,242.5,3.95,9.76,165.96,00046
00002,00669,01474,00427,2020-01-02,10,261.08,15.61,7.24,977.59,01014
00003,01894,01641,01359,2020-01-03,8,243.4,5.7,9.93,523.47,01372
00004,01653,00179,00820,2020-01-04,1,213.28,13.42,5.98,438.22,01858
00005,01249,00570,01746,2020-01-05,7,349.69,17.64,6.13,354.24,00606
00006,00324,00950,01028,2020-01-06,9,470.49,8.56,10.72,367.51,00194
00007,01797,00376,01812,2020-01-07,7,544.34,19.53,12.65,838.76,00355
00008,00181,00922,00170,2020-01-08,8,131.56,5.75,12.0,150.78,01063
00009,01252,01714,00323,2020-01-09,3,500.4,6.92,12.61,814.26,00767
00010,00078,01635,01139,2020-01-10,10,240.51,2.38,12.63,984.34,00437
00011,01541,01233,00258,2020-01-11,3,642.85,13.61,9.61,764.88,01285
00012,00310,00231,00948,2020-01-12,2,486.45,10.01,10.08,419.83,00293
00013,01902,00519,00212,2020-01-13,6,428.29,4.9,14.74,460.82,01892
00014,01654,00193,00926,2020-01-14,9,237.96,19.85,12.11,836.52,01647
00015,01235,01793,00742,2020-01-15,3,637.03,10.8,7.59,775.37,01584
00016,01801,01847,00215,2020-01-16,9,450.0,19.94,5.3,395.65,01287
00017,00285,01595,00634,2020-01-17,9,513.54,12.07,6.66,858.72,01232
00018,00713,00342,01872,2020-01-18,9,273.61,10.04,7.5,703.5,01806
00019,00420,00218,00165,2020-01-19,4,554.98,1.54,13.76,168.45,00107
00020,00998,00096,00206,2020-01-20,3,648.98,9.75,14.79,656.02,01151
00021,01834,00585,00187,2020-01-21,1,412.4,15.23,13.33,100.88,01031
00022,00508,00573,00120,2020-01-22,10,567.67,12.11,8.61,841.51,01360
00023,00804,01451,01168,2020-01-23,8,636.26,2.19,10.15,423.23,00414
00024,00666,00602,01135,2020-01-24,10,509.37,3.15,7.96,972.16,00740
00025,01243,01941,00290,2020-01-25,7,600.43,18.38,10.26,892.47,00054
00026,00158,01982,00628,2020-01-26,5,99.4,14.23,7.78,729.28,00713
00027,00179,01276,01089,2020-01-27,3,257.27,17.72,6.93,596.29,01558
00028,00512,00585,01566,2020-01-28,8,678.84,2.48,7.7,424.48,01835
00029,00470,01562,01941,2020-01-29,4,114.82,11.16,8.43,634.06,01503
00030,01257,00538,01708,2020-01-30,5,502.8,6.72,12.36,417.8,00618
00031,00468,01869,01353,2020-01-31,8,635.83,13.65,7.46,792.14,00800
00032,00133,01476,00212,2020-02-01,2,351.55,0.23,12.39,608.41,01289
00033,01861,01628,01142,2020-02-02,5,501.01,11.52,8.27,865.78,00958
00034,01849,00010,01204,2020-02-03,6,457.58,11.85,5.81,654.41,01421
00035,01715,00116,01494,2020-02-04,5,111.9,12.27,13.36,394.69,00564
00036,00181,00256,01980,2020-02-05,3,428.91,4.5,14.0,201.43,01495
00037,00785,00096,01908,2020-02-06,5,602.45,14.47,9.77,225.4,00287
00038,00122,01829,00607,2020-02-07,10,494.72,0.08,13.76,337.01,00271
00039,00667,00894,00260,2020-02-08,6,527.24,17.8,11.62,270.55,01654
00040,01579,01101,00905,2020-02-09,7,175.86,19.5,10.13,660.48,01876
00041,01603,00605,00569,2020-02-10,5,188.83,9.32,12.79,991.86,00264
00042,01501,01433,01799,2020-02-11,10,387.5,17.87,14.46,118.55,01293
00043,01836,01817,00069,2020-02-12,2,587.82,17.9,10.38,179.3,00511
00044,01947,00757,01374,2020-02-13,9,212.22,11.15,14.3,219.75,00128
00045,00093,00632,01952,2020-02-14,8,457.4,19.1,10.89,984.78,00103
00046,01715,00700,01673,2020-02-15,7,655.74,6.62,5.34,739.03,00805
00047,01809,01709,01564,2020-02-16,4,363.35,15.76,6.75,145.21,01326
00048,01495,01616,01456,2020-02-17,4,313.33,3.45,9.84,803.28,00008
00049,00374,00518,01595,2020-02-18,10,230.52,8.35,10.79,129.11,01966
00050,01597,01885,00080,2020-02-19,5,557.57,8.83,11.63,421.1,01141
00051,00405,00386,00074,2020-02-20,9,159.65,11.32,11.48,987.95,01968
00052,01838,00947,00442,2020-02-21,7,273.91,14.92,13.47,212.12,01970
00053,00445,00360,01754,2020-02-22,1,284.1,15.55,8.78,833.52,00721
00054,00323,01526,01325,2020-02-23,4,310.29,12.47,5.89,797.09,01116
00055,01630,01769,00524,2020-02-24,10,601.07,1.78,12.14,510.26,00466
00056,00393,01772,01902,2020-02-25,10,64.39,18.88,12.51,998.88,00439
00057,00830,01897,00110,2020-02-26,5,430.01,7.02,12.09,993.29,00388
00058,01628,01173,01937,2020-02-27,7,176.99,19.88,13.03,858.95,00426
00059,00896,01713,01737,2020-02-28,9,224.52,13.28,8.86,985.6,01792
00060,00764,00225,01341,2020-02-29,10,340.63,16.23,8.24,422.46,00714
00061,00666,01577,01884,2020-03-01,1,493.33,5.92,9.69,532.96,00618
00062,01601,00293,01080,2020-03-02,6,434.59,13.57,8.07,706.77,01196
00063,00998,00726,00649,2020-03-03,3,274.11,2.18,13.39,864.64,01033
00064,00587,01041,01362,2020-03-04,1,60.42,5.56,14.22,568.6,01383
